typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,381961054.0,False,5,u,381961054.0,False,72454.589,True,0.0,False,135580194.0,134907940.0,135580194.0,4,False,True
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,23.0,False,5,u,23.0,False,25.351,True,0.0,False,47437.0,46517.0,47437.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,100,BGR,Bulgaria,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,20.0,False,5,u,20.0,False,1.225,True,0.0,False,2292.0,2084.0,2292.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2689519.0,False,5,u,2689519.0,False,449.558,True,0.0,False,841233.0,833934.0,841233.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7215089.0,False,5,u,7215089.0,False,4118.244,True,0.0,False,7706238.0,7635937.0,7706238.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,188,CRI,Costa Rica,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,913.0,False,5,u,913.0,False,59.065,True,0.0,False,110525.0,109159.0,110525.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,208,DNK,Denmark,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9967.0,False,5,u,9967.0,False,60.146,True,0.0,False,112548.0,110048.0,112548.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,214,DOM,Dominican Rep.,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9.0,False,5,u,9.0,False,7.482,True,0.0,False,14000.0,13505.0,14000.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,251,FRA,France,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,11120.0,False,5,u,11120.0,False,727.02,True,0.0,False,1360432.0,1353155.0,1360432.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6482790.0,False,5,u,6482790.0,False,299.469,True,0.0,False,560379.0,528128.0,560379.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,376,ISR,Israel,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2315.0,False,5,u,2315.0,False,53.238,True,0.0,False,99622.0,98920.0,99622.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,380,ITA,Italy,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,50.0,False,5,u,50.0,False,5.159,True,0.0,False,9654.0,9204.0,9654.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1297577.0,False,5,u,1297577.0,False,5604.184,True,0.0,False,10486795.0,10466052.0,10486795.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6263211.0,False,5,u,6263211.0,False,12372.992,True,0.0,False,23152883.0,23097323.0,23152883.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2574949.0,False,5,u,2574949.0,False,11334.66,True,0.0,False,21209912.0,21169903.0,21209912.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,88328.0,False,5,u,88328.0,False,85.04,True,0.0,False,159131.0,157118.0,159131.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,490,S19,"Other Asia, nes",0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,343547182.0,False,5,u,343547182.0,False,29220.716,True,0.0,False,54679081.0,54367354.0,54679081.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,583,FSM,FS Micronesia,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,51.0,False,5,u,51.0,False,3.23,True,0.0,False,6044.0,5926.0,6044.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,608,PHL,Philippines,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4154836.0,False,5,u,4154836.0,False,1552.354,True,0.0,False,2904833.0,2885879.0,2904833.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1026.0,False,5,u,1026.0,False,29.721,True,0.0,False,55615.0,54326.0,55615.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,702,SGP,Singapore,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1074128.0,False,5,u,1074128.0,False,3635.781,True,0.0,False,6803433.0,6758710.0,6803433.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,19337.0,False,5,u,19337.0,False,133.259,True,0.0,False,249361.0,246456.0,249361.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,705,SVN,Slovenia,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,1.2,True,0.0,False,2246.0,2207.0,2246.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,724,ESP,Spain,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,163.0,False,5,u,163.0,False,29.338,True,0.0,False,54899.0,53241.0,54899.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,752,SWE,Sweden,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1481.0,False,5,u,1481.0,False,17.427,True,0.0,False,32610.0,32441.0,32610.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,757,CHE,Switzerland,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,1.93,True,0.0,False,3611.0,3603.0,3611.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6526852.0,False,5,u,6526852.0,False,2620.189,True,0.0,False,4903012.0,4854452.0,4903012.0,4,True,False
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,826,GBR,United Kingdom,0,W00,World,H6,HS,True,854232,Electronic integrated circuits; memories,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,115.0,False,5,u,115.0,False,6.61,True,0.0,False,12368.0,12358.0,12368.0,4,True,False
